table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	BASIC_METALS	IT	UTIL_WASTE	7.272298623668454	7.230179321825324	7.230179321825324	-0.04211930184312962	0.0
intermediate	DE	BASIC_METALS	PL	AGRI_FOOD	27.368690327922447	27.335959436873644	27.335959436873644	-0.032730891048803556	0.0
intermediate	DE	BASIC_METALS	PL	BASIC_METALS	498.21089158524813	497.61506890552107	497.61506890552107	-0.595822679727064	0.0
intermediate	DE	BASIC_METALS	PL	CONSTRUCTION	143.93848261328193	143.7663430356954	143.7663430356954	-0.17213957758653464	0.0
intermediate	DE	BASIC_METALS	PL	EXTRACTIVE	9.835061741210245	9.82329974856636	9.82329974856636	-0.011761992643885222	0.0
intermediate	DE	BASIC_METALS	PL	INC_EE	0.3309492592836933	0.3305534689108801	0.3305534689108801	-0.0003957903728131762	0.0
intermediate	DE	BASIC_METALS	PL	METAL_COMPONENTS	807.3782589293269	806.4126953780002	806.4126953780002	-0.9655635513266816	0.0
intermediate	DE	BASIC_METALS	PL	NEW_ELMA	201.40167563945164	201.16081441359768	201.16081441359768	-0.24086122585396197	0.0
intermediate	DE	BASIC_METALS	PL	NEW_OFMA	0.5590877395780813	0.5584191127760095	0.5584191127760095	-0.0006686268020718034	0.0
intermediate	DE	BASIC_METALS	PL	NEW_RATV	21.6252744407781	21.599412242289944	21.599412242289944	-0.02586219848815574	0.0
intermediate	DE	BASIC_METALS	PL	OTHER_MANUFACTURING	724.8230884392781	723.9562546502619	723.9562546502619	-0.866833789016141	0.0
intermediate	DE	BASIC_METALS	PL	OTHER_SERVICES	59.97350259749931	59.90177880816873	59.90177880816873	-0.07172378933058354	0.0
intermediate	DE	BASIC_METALS	PL	PUBLIC_SOCIAL	6.045934194416601	6.038703712759107	6.038703712759107	-0.007230481657494181	0.0
intermediate	DE	BASIC_METALS	PL	REC_EE	0.19381841927249216	0.19358662704975702	0.19358662704975702	-0.00023179222273514433	0.0
intermediate	DE	BASIC_METALS	PL	REF_ELMA	1.4394527322387065	1.437731255252256	1.437731255252256	-0.001721476986450421	0.0
intermediate	DE	BASIC_METALS	PL	REF_OFMA	0.007673818483345011	0.007664641174760011	0.007664641174760011	-9.177308585000404e-6	0.0
intermediate	DE	BASIC_METALS	PL	REF_RATV	0.6971843728374552	0.6963505928693655	0.6963505928693655	-0.0008337799680896429	0.0
intermediate	DE	BASIC_METALS	PL	REP_ELMA	0.0008899096385403221	0.0008888453736787834	0.0008888453736787834	-1.064264861538682e-6	0.0
intermediate	DE	BASIC_METALS	PL	REU_ELMA	0.11177108235256379	0.11163741256146106	0.11163741256146106	-0.00013366979110272792	0.0
intermediate	DE	BASIC_METALS	PL	REU_OFMA	9.066250137682642e-6	9.055407585776718e-6	9.055407585776718e-6	-1.0842551905924447e-8	0.0
intermediate	DE	BASIC_METALS	PL	REU_RATV	0.06302688887730275	0.06295151346809351	0.06295151346809351	-7.537540920923846e-5	0.0
intermediate	DE	BASIC_METALS	PL	TRADE	34.34906159934999	34.307982710321454	34.307982710321454	-0.04107888902853318	0.0
intermediate	DE	BASIC_METALS	PL	TRANSPORT	21.709878626073827	21.683915247356076	21.683915247356076	-0.02596337871775134	0.0
